transnational_regions,time,tp,realization
11,1962-04-01,77.25721945122845,0
11,1962-05-01,59.311383070691384,0
11,1962-06-01,33.471735000525285,0
11,1962-07-01,18.165792757695208,0
11,1962-08-01,11.383602199933792,0
11,1962-09-01,50.77581806965712,0
11,1962-10-01,77.17306752505678,0
11,1962-11-01,86.49731780357686,0
11,1962-12-01,80.40887427556399,0
11,1963-01-01,105.6559400804304,0
11,1963-02-01,114.10514998993546,0
11,1963-03-01,81.81342937661776,0
11,1963-04-01,82.30487541172843,0
11,1963-05-01,46.69849101493521,0
11,1963-06-01,70.04830945153854,0
11,1963-07-01,31.62581967886997,0
11,1963-08-01,54.60430727059029,0
11,1963-09-01,79.10157304826376,0
11,1963-10-01,32.70121178464011,0
11,1963-11-01,133.38559718335875,0
11,1963-12-01,108.30397097736716,0
11,1964-01-01,20.10310620202629,0
11,1964-02-01,116.56639890851673,0
11,1964-03-01,93.70532634653115,0
11,1964-04-01,64.45196415347482,0
11,1964-05-01,50.70319365992811,0
11,1964-06-01,50.32579433600714,0
11,1964-07-01,22.82107158727442,0
11,1964-08-01,26.87681998660669,0
11,1964-09-01,50.781785306922664,0
11,1964-10-01,58.7120869841235,0
11,1964-11-01,44.12754724195257,0
11,1964-12-01,70.20872080877623,0
11,1965-01-01,86.15312989794094,0
11,1965-02-01,46.83345339439173,0
11,1965-03-01,89.9141215884538,0
11,1965-04-01,47.004256719461004,0
11,1965-05-01,44.346068638516186,0
11,1965-06-01,38.63456437896532,0
11,1965-07-01,32.805343295610626,0
11,1965-08-01,31.65779224267164,0
11,1965-09-01,105.11465254426014,0
11,1965-10-01,120.72721183802918,0
11,1965-11-01,120.76363512096427,0
11,1965-12-01,109.25722278244201,0
11,1966-01-01,125.32278425437994,0
11,1966-02-01,146.74034651865924,0
11,1966-03-01,22.54592114674248,0
11,1966-04-01,105.31454971256713,0
11,1966-05-01,57.17374422943593,0
11,1966-06-01,61.187889639191724,0
11,1966-07-01,31.909705145661352,0
11,1966-08-01,27.757469248603545,0
11,1966-09-01,34.119559159324375,0
11,1966-10-01,135.51839890963026,0
11,1966-11-01,93.7074797321121,0
11,1966-12-01,51.34103177828507,0
11,1967-01-01,58.28542126750472,0
11,1967-02-01,73.57157022358453,0
11,1967-03-01,58.233254701835904,0
11,1967-04-01,56.71947673377497,0
11,1967-05-01,76.43823627803468,0
11,1967-06-01,43.665544301218816,0
11,1967-07-01,23.555071388022778,0
11,1967-08-01,42.191531144139674,0
11,1967-09-01,47.42320134540544,0
11,1967-10-01,64.33138942963025,0
11,1967-11-01,129.86452508967417,0
11,1967-12-01,43.450845503954525,0
11,1968-01-01,36.24089691310689,0
11,1968-02-01,110.03820613308761,0
11,1968-03-01,71.49975550240691,0
11,1968-04-01,82.08053420946524,0
