time,axis_nbounds,lat,lon,time_bounds,pr
2041-07-16 12:00:00,0.5,40.56338,-2.5,2041-07-16 12:00:00,2.3424042e-05
2042-04-16 00:00:00,0.5,40.56338,-2.5,2042-04-16 00:00:00,1.5764821e-05
2042-05-16 12:00:00,0.5,40.56338,-2.5,2042-05-16 12:00:00,1.8464458e-05
2042-06-16 00:00:00,0.5,40.56338,-2.5,2042-06-16 00:00:00,4.2497966e-05
2042-07-16 12:00:00,0.5,40.56338,-2.5,2042-07-16 12:00:00,4.3448512e-05
2043-04-16 00:00:00,0.5,40.56338,-2.5,2043-04-16 00:00:00,2.544751e-05
2043-05-16 12:00:00,0.5,40.56338,-2.5,2043-05-16 12:00:00,2.9447763e-05
2043-06-16 00:00:00,0.5,40.56338,-2.5,2043-06-16 00:00:00,4.272631e-05
2043-07-16 12:00:00,0.5,40.56338,-2.5,2043-07-16 12:00:00,3.869849e-05
2044-04-16 00:00:00,0.5,40.56338,-2.5,2044-04-16 00:00:00,5.389298e-05
2044-05-16 12:00:00,0.5,40.56338,-2.5,2044-05-16 12:00:00,5.206907e-06
2044-06-16 00:00:00,0.5,40.56338,-2.5,2044-06-16 00:00:00,2.5685598e-05
2044-07-16 12:00:00,0.5,40.56338,-2.5,2044-07-16 12:00:00,4.8661055e-05
2045-04-16 00:00:00,0.5,40.56338,-2.5,2045-04-16 00:00:00,5.147914e-05
2045-05-16 12:00:00,0.5,40.56338,-2.5,2045-05-16 12:00:00,1.2395833e-05
2045-06-16 00:00:00,0.5,40.56338,-2.5,2045-06-16 00:00:00,5.713488e-05
2045-07-16 12:00:00,0.5,40.56338,-2.5,2045-07-16 12:00:00,3.1467865e-05
2046-04-16 00:00:00,0.5,40.56338,-2.5,2046-04-16 00:00:00,2.0022851e-05
2046-05-16 12:00:00,0.5,40.56338,-2.5,2046-05-16 12:00:00,4.9788294e-05
2046-06-16 00:00:00,0.5,40.56338,-2.5,2046-06-16 00:00:00,3.259244e-05
2046-07-16 12:00:00,0.5,40.56338,-2.5,2046-07-16 12:00:00,4.7641057e-05
2047-04-16 00:00:00,0.5,40.56338,-2.5,2047-04-16 00:00:00,2.0062405e-05
2047-05-16 12:00:00,0.5,40.56338,-2.5,2047-05-16 12:00:00,6.018053e-05
2047-06-16 00:00:00,0.5,40.56338,-2.5,2047-06-16 00:00:00,4.611324e-05
2047-07-16 12:00:00,0.5,40.56338,-2.5,2047-07-16 12:00:00,5.785369e-05
2048-04-16 00:00:00,0.5,40.56338,-2.5,2048-04-16 00:00:00,2.0017693e-05
